id,UserID,TestID,library,soundQuality,soundSpatialQuality,duration,versionSha,os
505,user_mWHMubr1PC_F8_TbFa8FA,Og7fWoWPUjtNkAIBSeu9c,mach1,9,7,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,linux
504,user_mWHMubr1PC_F8_TbFa8FA,Og7fWoWPUjtNkAIBSeu9c,js-ambisonics,8,7,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,linux
503,user_mWHMubr1PC_F8_TbFa8FA,Og7fWoWPUjtNkAIBSeu9c,web-api,7,6,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,linux
502,user_mWHMubr1PC_F8_TbFa8FA,Og7fWoWPUjtNkAIBSeu9c,resonance,9,8,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,linux
506,user_JtvVWx908vSizKct78dOg,nhBBEW5lQxWnhv_MyV9lZ,resonance,7,3,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,macos
507,user_JtvVWx908vSizKct78dOg,nhBBEW5lQxWnhv_MyV9lZ,web-api,3,9,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,macos
508,user_JtvVWx908vSizKct78dOg,nhBBEW5lQxWnhv_MyV9lZ,js-ambisonics,1,4,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,macos
509,user_JtvVWx908vSizKct78dOg,nhBBEW5lQxWnhv_MyV9lZ,mach1,9,2,,5f9eb1e80116c3801ce5266b91b59c918d947e0d,macos
510,user_8-X8Gvf6xOh2NKwHc2H1T,fnHj2VOiUB9kXzNLxirKG,resonance,7,8,,b9b6ab20819a18c30d96d541da7525ae70921dcf,macos
511,user_8-X8Gvf6xOh2NKwHc2H1T,fnHj2VOiUB9kXzNLxirKG,web-api,6,6,,b9b6ab20819a18c30d96d541da7525ae70921dcf,macos
512,user_8-X8Gvf6xOh2NKwHc2H1T,fnHj2VOiUB9kXzNLxirKG,js-ambisonics,3,7,,b9b6ab20819a18c30d96d541da7525ae70921dcf,macos
513,user_8-X8Gvf6xOh2NKwHc2H1T,fnHj2VOiUB9kXzNLxirKG,mach1,6,8,,b9b6ab20819a18c30d96d541da7525ae70921dcf,macos
514,user_1QeLizqOAtZp0kxF390hp,ua36ajPzc5urEzWB5R09g,resonance,5,5,,3709ee509194a9505970b58387e62496f3faa59d,macos
515,user_1QeLizqOAtZp0kxF390hp,ua36ajPzc5urEzWB5R09g,web-api,2,3,,3709ee509194a9505970b58387e62496f3faa59d,macos
516,user_1QeLizqOAtZp0kxF390hp,ua36ajPzc5urEzWB5R09g,js-ambisonics,4,4,,3709ee509194a9505970b58387e62496f3faa59d,macos
517,user_1QeLizqOAtZp0kxF390hp,ua36ajPzc5urEzWB5R09g,mach1,6,9,,3709ee509194a9505970b58387e62496f3faa59d,macos
518,user_1QeLizqOAtZp0kxF390hp,Li89L5nOV7tsNvoDmK1KG,resonance,5,5,,5ab30301b6ba470aa5bf9356768a7a7c62fda577,macos
519,user_1QeLizqOAtZp0kxF390hp,Li89L5nOV7tsNvoDmK1KG,web-api,5,5,,5ab30301b6ba470aa5bf9356768a7a7c62fda577,macos
520,user_1QeLizqOAtZp0kxF390hp,Li89L5nOV7tsNvoDmK1KG,js-ambisonics,5,5,,5ab30301b6ba470aa5bf9356768a7a7c62fda577,macos
521,user_1QeLizqOAtZp0kxF390hp,Li89L5nOV7tsNvoDmK1KG,mach1,5,5,,5ab30301b6ba470aa5bf9356768a7a7c62fda577,macos
522,user_1QeLizqOAtZp0kxF390hp,CcJxUgtSco7aS6Iy_pWDP,resonance,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
523,user_1QeLizqOAtZp0kxF390hp,CcJxUgtSco7aS6Iy_pWDP,web-api,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
524,user_1QeLizqOAtZp0kxF390hp,CcJxUgtSco7aS6Iy_pWDP,js-ambisonics,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
525,user_1QeLizqOAtZp0kxF390hp,CcJxUgtSco7aS6Iy_pWDP,mach1,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
526,user_yjkKyIEqFKwpsKTSMBUP5,l9I4TBR2dsGOe-BJVE7zm,resonance,8,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
527,user_yjkKyIEqFKwpsKTSMBUP5,l9I4TBR2dsGOe-BJVE7zm,web-api,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
528,user_yjkKyIEqFKwpsKTSMBUP5,l9I4TBR2dsGOe-BJVE7zm,js-ambisonics,3,1,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
