id,UserID,TestID,trueAzimuth,trueElevation,guessedAzimuth,guessedElevation,isBypassed,guessedIsBypassed,library,guessType,sample,view,createdAt,updatedAt,duration,versionSha,os
8149,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,45,0,0,0,false,false,resonance,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8150,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,180,0,270,0,false,false,resonance,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8151,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,135,0,165,0,false,false,resonance,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8152,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,225,0,195,0,false,false,resonance,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8153,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,225,0,210,0,false,false,resonance,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8154,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,180,0,120,0,false,false,resonance,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8155,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,270,0,345,0,false,false,resonance,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8156,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,270,0,315,0,false,false,resonance,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8169,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,90,0,195,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8170,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,270,0,255,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8171,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,180,0,150,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8172,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,135,0,135,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8173,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,315,0,330,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8174,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,90,0,75,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8175,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,45,0,0,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8176,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,315,0,240,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8177,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,135,0,165,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
